L_X,L_Y,L_Z,R_X,R_Y,R_Z
3.53711,-6.67357,-0.628205,0.849634,-8.40047,-23.7602
3.50309,-6.66461,-0.729344,0.86399,-8.41912,-23.7568
3.47549,-6.65877,-0.812858,0.877827,-8.43732,-23.7541
3.45422,-6.65596,-0.87905,0.891079,-8.45499,-23.7522
3.4391,-6.65607,-0.928493,0.903586,-8.47188,-23.7512
3.42985,-6.65884,-0.962015,0.91514,-8.48768,-23.751
3.42612,-6.66392,-0.980603,0.925533,-8.50207,-23.7516
3.4274,-6.67084,-0.985533,0.934596,-8.51477,-23.7531
3.43304,-6.67904,-0.978445,0.942222,-8.5256,-23.7553
3.44224,-6.68785,-0.961372,0.948384,-8.53449,-23.758
3.45406,-6.69663,-0.936564,0.953105,-8.54144,-23.7611
3.46756,-6.70477,-0.906414,0.956482,-8.54658,-23.7643
3.48184,-6.71179,-0.873137,0.958657,-8.55007,-23.7674
3.49608,-6.71738,-0.838801,0.959798,-8.55216,-23.7703
3.50955,-6.72143,-0.80527,0.960094,-8.5531,-23.7729
3.52166,-6.72398,-0.774138,0.959732,-8.55319,-23.7751
3.532,-6.72522,-0.746694,0.958889,-8.55268,-23.7769
3.54033,-6.72542,-0.723762,0.957733,-8.55183,-23.7783
3.54661,-6.72487,-0.705755,0.956411,-8.55085,-23.7795
3.55094,-6.72386,-0.69262,0.955038,-8.54992,-23.7804
3.55354,-6.72264,-0.683908,0.953709,-8.54917,-23.7811
3.55472,-6.72142,-0.678869,0.952499,-8.54867,-23.7816
3.5548,-6.72035,-0.67662,0.95146,-8.54847,-23.782
3.55413,-6.71951,-0.676213,0.950634,-8.54858,-23.782
3.55303,-6.71892,-0.676658,0.950061,-8.54896,-23.7818
3.5518,-6.71857,-0.676999,0.949756,-8.54957,-23.7812
3.55069,-6.71841,-0.676405,0.949755,-8.55035,-23.7803
3.5499,-6.71834,-0.674237,0.950056,-8.55123,-23.7789
3.54955,-6.71825,-0.670034,0.950655,-8.55212,-23.777
3.5497,-6.71806,-0.663556,0.951523,-8.55296,-23.7748
3.55033,-6.71763,-0.654875,0.952607,-8.55367,-23.7722
