L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.170881,-1.92028,-0.510664,-1.05788,0.556462,-28.7875
0.173069,-1.92715,-0.520691,-1.0192,0.558192,-28.7107
0.175478,-1.93334,-0.528467,-0.985161,0.55969,-28.6443
0.178096,-1.93884,-0.534004,-0.955671,0.560974,-28.5881
0.180915,-1.94368,-0.537321,-0.930617,0.562074,-28.5418
0.183908,-1.94786,-0.538521,-0.9098,0.563,-28.5051
0.187046,-1.95142,-0.537657,-0.892933,0.563758,-28.4774
0.190297,-1.95438,-0.534867,-0.879677,0.564352,-28.458
0.19361,-1.95679,-0.530354,-0.869619,0.564779,-28.4461
0.196926,-1.95869,-0.524316,-0.862302,0.565031,-28.4407
0.200181,-1.96016,-0.517069,-0.857237,0.565102,-28.4409
0.203298,-1.96125,-0.508932,-0.853917,0.564971,-28.4456
0.206201,-1.96204,-0.500269,-0.851848,0.564617,-28.4537
0.208808,-1.96261,-0.491512,-0.850531,0.564017,-28.4641
0.211044,-1.96303,-0.483063,-0.849526,0.563149,-28.4758
0.212865,-1.96333,-0.475324,-0.848449,0.561995,-28.4878
0.214251,-1.96357,-0.468619,-0.84696,0.56053,-28.4992
0.215206,-1.96375,-0.463214,-0.844807,0.558759,-28.5092
0.215795,-1.96387,-0.459254,-0.841792,0.556688,-28.5174
0.216089,-1.96392,-0.456782,-0.837765,0.554343,-28.523
0.216199,-1.96386,-0.4557,-0.832663,0.551751,-28.5259
0.216237,-1.96364,-0.455867,-0.826467,0.548958,-28.5258
0.216336,-1.96327,-0.457031,-0.819213,0.546014,-28.5228
0.216591,-1.96269,-0.458984,-0.811013,0.542971,-28.5168
0.217082,-1.96189,-0.461526,-0.802015,0.539891,-28.5083
0.217886,-1.96086,-0.46445,-0.792402,0.536831,-28.4975
0.219012,-1.95959,-0.467619,-0.782394,0.533831,-28.4849
0.220456,-1.9581,-0.470931,-0.772217,0.530929,-28.4709
0.222162,-1.95638,-0.474315,-0.762096,0.528143,-28.456
0.224066,-1.95448,-0.477662,-0.752265,0.525483,-28.4408
0.22608,-1.95243,-0.480887,-0.74292,0.522937,-28.4256
0.228104,-1.95029,-0.483882,-0.734253,0.520516,-28.411
0.230036,-1.94812,-0.486517,-0.726409,0.518206,-28.3974
0.231767,-1.94599,-0.488719,-0.719514,0.516029,-28.3853
0.233207,-1.94396,-0.490404,-0.713648,0.513998,-28.3749
