L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.866088,-3.01448,-13.2077,2.28615,-1.43705,-30.0491
0.882334,-3.00619,-13.2211,2.29829,-1.44652,-30.0115
0.89792,-2.99916,-13.2314,2.30867,-1.45508,-29.9783
0.912845,-2.99341,-13.2387,2.3173,-1.46277,-29.9496
0.927106,-2.98892,-13.2429,2.32422,-1.46954,-29.9252
0.940702,-2.98571,-13.2441,2.32947,-1.47541,-29.9051
0.953623,-2.98376,-13.2423,2.33314,-1.48034,-29.8893
0.965854,-2.98303,-13.2377,2.33535,-1.48429,-29.8776
0.977385,-2.98348,-13.2303,2.33624,-1.48727,-29.8698
0.9882,-2.98505,-13.2205,2.33602,-1.48922,-29.8656
0.99829,-2.98763,-13.2083,2.33491,-1.49012,-29.8648
1.00765,-2.99111,-13.1942,2.33317,-1.48995,-29.8669
1.01629,-2.99536,-13.1784,2.33106,-1.48872,-29.8716
1.02423,-3.00022,-13.1614,2.32886,-1.48643,-29.8782
1.03149,-3.00549,-13.1437,2.32682,-1.48312,-29.8864
1.03811,-3.01098,-13.1257,2.32517,-1.47882,-29.8954
1.04416,-3.01649,-13.1081,2.32412,-1.47364,-29.9047
1.0497,-3.02182,-13.0913,2.32381,-1.46766,-29.9137
1.05482,-3.02674,-13.0759,2.32436,-1.46099,-29.9219
1.05962,-3.03108,-13.0623,2.32585,-1.45377,-29.9288
1.06418,-3.03465,-13.0511,2.32832,-1.44616,-29.9339
1.06861,-3.03731,-13.0425,2.33176,-1.43829,-29.9368
1.07298,-3.03895,-13.0368,2.33616,-1.43033,-29.9371
1.07738,-3.0395,-13.034,2.3415,-1.42241,-29.9345
1.08184,-3.03893,-13.0344,2.34772,-1.41469,-29.9289
1.0864,-3.03726,-13.0376,2.35477,-1.40727,-29.9201
1.09104,-3.03456,-13.0437,2.36259,-1.40027,-29.908
1.09571,-3.03095,-13.0522,2.37112,-1.39375,-29.8926
1.10032,-3.02657,-13.0629,2.38029,-1.38781,-29.874
1.10475,-3.0216,-13.0754,2.39001,-1.38247,-29.8525
1.10886,-3.01625,-13.0893,2.40021,-1.37776,-29.8282
1.11247,-3.01074,-13.1041,2.41077,-1.37368,-29.8016
1.11541,-3.00529,-13.1194,2.4216,-1.37019,-29.7732
1.11751,-3.00014,-13.1348,2.43258,-1.36727,-29.7433
1.11861,-2.99549,-13.15,2.4436,-1.36484,-29.7126
1.11859,-2.99155,-13.1644,2.45456,-1.36283,-29.6816
1.11734,-2.98846,-13.178,2.46534,-1.36117,-29.651
1.11484,-2.98636,-13.1903,2.47582,-1.35974,-29.6213
1.11108,-2.98533,-13.2012,2.48589,-1.35848,-29.5932
1.10611,-2.98542,-13.2105,2.49546,-1.35728,-29.5672
1.10005,-2.98662,-13.2182,2.50444,-1.35607,-29.5438
1.09304,-2.9889,-13.2242,2.51274,-1.35477,-29.5233
1.08527,-2.99217,-13.2286,2.52032,-1.35333,-29.5062
1.07695,-2.99632,-13.2314,2.52715,-1.35168,-29.4926
1.06833,-3.00123,-13.2328,2.53321,-1.34979,-29.4825
1.05965,-3.00673,-13.2328,2.53853,-1.34762,-29.476
1.05114,-3.01267,-13.2317,2.54313,-1.34517,-29.473
1.04302,-3.01888,-13.2297,2.54707,-1.34243,-29.4731
1.03551,-3.02519,-13.2268,2.55041,-1.33939,-29.476
1.02876,-3.03147,-13.2234,2.55322,-1.33608,-29.4815
1.02292,-3.03757,-13.2195,2.55558,-1.33253,-29.489
1.01808,-3.04336,-13.2154,2.55756,-1.32878,-29.4981
1.01429,-3.04872,-13.2113,2.55921,-1.32485,-29.5083
1.01156,-3.05356,-13.2073,2.5606,-1.32082,-29.5192
1.00988,-3.05781,-13.2036,2.56176,-1.31674,-29.5303
1.00919,-3.0614,-13.2003,2.56274,-1.31267,-29.5412
1.0094,-3.06429,-13.1977,2.56357,-1.30866,-29.5517
1.01042,-3.06646,-13.1957,2.56427,-1.30478,-29.5613
1.01212,-3.0679,-13.1946,2.56488,-1.30109,-29.57
